"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.59375 0.59375 0.65625 0.46875 0.90625 0.78125 0.34375 0.15625
"2" 0.15625 0.15625 0.65625 0.46875 0.09375 0.46875 0.90625 0.15625
"3" 0.90625 0.34375 0.59375 0.09375 0.46875 0.28125 0.03125 0.65625
"4" 0.65625 0.09375 0.21875 0.28125 0.78125 0.15625 0.28125 0.09375
"5" 0.09375 0.84375 0.46875 0.96875 0.28125 0.84375 0.53125 0.09375
"6" 0.03125 0.78125 0.34375 0.53125 0.90625 0.34375 0.15625 0.59375
"7" 0.71875 0.96875 0.34375 0.71875 0.09375 0.71875 0.21875 0.78125
"8" 0.40625 0.28125 0.71875 0.90625 0.34375 0.40625 0.46875 0.78125
"9" 0.96875 0.46875 0.28125 0.96875 0.96875 0.65625 0.09375 0.71875
"10" 0.53125 0.15625 0.46875 0.34375 0.84375 0.59375 0.59375 0.84375
"11" 0.65625 0.96875 0.78125 0.90625 0.84375 0.53125 0.90625 0.46875
"12" 0.03125 0.03125 0.96875 0.03125 0.03125 0.03125 0.53125 0.96875
"13" 0.90625 0.71875 0.40625 0.65625 0.53125 0.40625 0.59375 0.03125
"14" 0.09375 0.46875 0.03125 0.21875 0.28125 0.46875 0.34375 0.84375
"15" 0.28125 0.21875 0.15625 0.78125 0.46875 0.59375 0.03125 0.28125
"16" 0.46875 0.21875 0.03125 0.84375 0.71875 0.96875 0.96875 0.40625
"17" 0.71875 0.03125 0.40625 0.53125 0.15625 0.78125 0.40625 0.59375
"18" 0.53125 0.53125 0.84375 0.78125 0.15625 0.21875 0.15625 0.21875
"19" 0.78125 0.90625 0.09375 0.15625 0.78125 0.84375 0.46875 0.53125
"20" 0.28125 0.53125 0.28125 0.09375 0.59375 0.65625 0.84375 0.21875
"21" 0.46875 0.84375 0.78125 0.15625 0.21875 0.53125 0.71875 0.71875
"22" 0.78125 0.71875 0.90625 0.59375 0.71875 0.15625 0.28125 0.90625
"23" 0.15625 0.34375 0.84375 0.28125 0.65625 0.71875 0.21875 0.46875
"24" 0.59375 0.40625 0.09375 0.59375 0.21875 0.21875 0.65625 0.40625
"25" 0.21875 0.65625 0.59375 0.65625 0.53125 0.90625 0.65625 0.90625
"26" 0.40625 0.78125 0.53125 0.03125 0.03125 0.96875 0.09375 0.03125
"27" 0.21875 0.59375 0.21875 0.84375 0.65625 0.03125 0.78125 0.65625
"28" 0.96875 0.65625 0.15625 0.40625 0.40625 0.34375 0.84375 0.96875
"29" 0.34375 0.09375 0.96875 0.71875 0.96875 0.28125 0.71875 0.28125
"30" 0.84375 0.40625 0.90625 0.40625 0.34375 0.90625 0.78125 0.34375
"31" 0.34375 0.90625 0.53125 0.34375 0.40625 0.09375 0.40625 0.34375
"32" 0.84375 0.28125 0.71875 0.21875 0.59375 0.09375 0.96875 0.53125
