"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.96875 0.15625 0.09375 0.90625 0.03125 0.84375 0.03125 0.71875
"2" 0.65625 0.21875 0.40625 0.65625 0.84375 0.40625 0.65625 0.21875
"3" 0.78125 0.46875 0.65625 0.03125 0.46875 0.84375 0.21875 0.15625
"4" 0.28125 0.09375 0.15625 0.84375 0.71875 0.59375 0.53125 0.34375
"5" 0.71875 0.03125 0.78125 0.96875 0.96875 0.15625 0.53125 0.65625
"6" 0.84375 0.59375 0.46875 0.84375 0.90625 0.34375 0.84375 0.84375
"7" 0.46875 0.96875 0.03125 0.71875 0.96875 0.21875 0.40625 0.40625
"8" 0.78125 0.21875 0.28125 0.53125 0.65625 0.03125 0.84375 0.53125
"9" 0.71875 0.84375 0.71875 0.78125 0.65625 0.28125 0.09375 0.90625
"10" 0.40625 0.90625 0.59375 0.53125 0.34375 0.40625 0.59375 0.34375
"11" 0.03125 0.84375 0.46875 0.96875 0.53125 0.21875 0.46875 0.09375
"12" 0.15625 0.09375 0.84375 0.09375 0.59375 0.78125 0.21875 0.40625
"13" 0.34375 0.96875 0.21875 0.15625 0.09375 0.53125 0.78125 0.59375
"14" 0.90625 0.28125 0.40625 0.34375 0.34375 0.96875 0.09375 0.53125
"15" 0.90625 0.78125 0.78125 0.28125 0.40625 0.28125 0.65625 0.46875
"16" 0.15625 0.71875 0.34375 0.21875 0.21875 0.71875 0.78125 0.28125
"17" 0.59375 0.59375 0.53125 0.40625 0.03125 0.59375 0.15625 0.03125
"18" 0.28125 0.40625 0.34375 0.15625 0.78125 0.96875 0.34375 0.21875
"19" 0.53125 0.40625 0.03125 0.28125 0.59375 0.53125 0.28125 0.71875
"20" 0.46875 0.15625 0.71875 0.40625 0.09375 0.46875 0.96875 0.96875
"21" 0.40625 0.34375 0.09375 0.59375 0.15625 0.90625 0.96875 0.15625
"22" 0.03125 0.53125 0.96875 0.71875 0.90625 0.65625 0.90625 0.65625
"23" 0.09375 0.53125 0.28125 0.46875 0.21875 0.09375 0.59375 0.90625
"24" 0.96875 0.71875 0.65625 0.59375 0.40625 0.09375 0.71875 0.96875
"25" 0.53125 0.90625 0.53125 0.21875 0.84375 0.90625 0.40625 0.09375
"26" 0.59375 0.78125 0.90625 0.09375 0.15625 0.71875 0.90625 0.78125
"27" 0.09375 0.46875 0.84375 0.34375 0.71875 0.15625 0.46875 0.78125
"28" 0.65625 0.65625 0.96875 0.90625 0.28125 0.46875 0.28125 0.03125
"29" 0.84375 0.28125 0.59375 0.46875 0.46875 0.78125 0.03125 0.28125
"30" 0.21875 0.65625 0.90625 0.78125 0.53125 0.34375 0.34375 0.59375
"31" 0.34375 0.03125 0.15625 0.03125 0.28125 0.65625 0.15625 0.84375
"32" 0.21875 0.34375 0.21875 0.65625 0.78125 0.03125 0.71875 0.46875
