"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.78125 0.53125 0.96875 0.84375 0.53125 0.09375 0.46875 0.09375
"2" 0.03125 0.28125 0.53125 0.71875 0.71875 0.34375 0.90625 0.28125
"3" 0.84375 0.21875 0.40625 0.46875 0.21875 0.59375 0.78125 0.65625
"4" 0.84375 0.09375 0.40625 0.21875 0.59375 0.15625 0.28125 0.96875
"5" 0.21875 0.78125 0.78125 0.78125 0.90625 0.90625 0.59375 0.71875
"6" 0.71875 0.71875 0.96875 0.65625 0.84375 0.40625 0.71875 0.59375
"7" 0.65625 0.03125 0.34375 0.78125 0.15625 0.53125 0.34375 0.46875
"8" 0.96875 0.40625 0.03125 0.03125 0.40625 0.59375 0.59375 0.90625
"9" 0.90625 0.53125 0.34375 0.90625 0.71875 0.84375 0.15625 0.53125
"10" 0.46875 0.15625 0.28125 0.96875 0.84375 0.65625 0.53125 0.96875
"11" 0.15625 0.03125 0.15625 0.71875 0.78125 0.96875 0.40625 0.21875
"12" 0.09375 0.71875 0.21875 0.40625 0.09375 0.71875 0.09375 0.84375
"13" 0.03125 0.84375 0.71875 0.59375 0.28125 0.84375 0.90625 0.21875
"14" 0.40625 0.15625 0.03125 0.34375 0.96875 0.15625 0.03125 0.90625
"15" 0.59375 0.65625 0.09375 0.53125 0.59375 0.65625 0.96875 0.09375
"16" 0.40625 0.28125 0.78125 0.90625 0.46875 0.78125 0.03125 0.65625
"17" 0.15625 0.90625 0.65625 0.09375 0.15625 0.40625 0.40625 0.28125
"18" 0.53125 0.65625 0.46875 0.65625 0.09375 0.21875 0.15625 0.03125
"19" 0.34375 0.96875 0.15625 0.15625 0.65625 0.46875 0.21875 0.46875
"20" 0.59375 0.84375 0.21875 0.03125 0.28125 0.03125 0.84375 0.34375
"21" 0.71875 0.59375 0.53125 0.15625 0.03125 0.09375 0.65625 0.84375
"22" 0.46875 0.46875 0.71875 0.40625 0.46875 0.28125 0.21875 0.53125
"23" 0.78125 0.40625 0.84375 0.28125 0.96875 0.71875 0.28125 0.34375
"24" 0.21875 0.46875 0.09375 0.21875 0.90625 0.21875 0.71875 0.40625
"25" 0.28125 0.59375 0.59375 0.46875 0.65625 0.53125 0.46875 0.03125
"26" 0.28125 0.34375 0.59375 0.09375 0.21875 0.78125 0.96875 0.15625
"27" 0.34375 0.34375 0.28125 0.53125 0.34375 0.03125 0.53125 0.59375
"28" 0.09375 0.78125 0.46875 0.96875 0.53125 0.34375 0.84375 0.78125
"29" 0.90625 0.21875 0.90625 0.84375 0.03125 0.28125 0.09375 0.78125
"30" 0.96875 0.90625 0.90625 0.34375 0.40625 0.96875 0.34375 0.71875
"31" 0.53125 0.09375 0.84375 0.59375 0.34375 0.46875 0.65625 0.15625
"32" 0.65625 0.96875 0.65625 0.28125 0.78125 0.90625 0.78125 0.40625
