"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.015625 0.234375 0.734375 0.171875 0.921875 0.453125 0.515625 0.265625
"2" 0.046875 0.984375 0.765625 0.734375 0.703125 0.546875 0.390625 0.234375
"3" 0.078125 0.890625 0.390625 0.296875 0.078125 0.359375 0.734375 0.546875
"4" 0.109375 0.265625 0.640625 0.921875 0.515625 0.046875 0.671875 0.578125
"5" 0.140625 0.640625 0.015625 0.609375 0.765625 0.140625 0.421875 0.171875
"6" 0.171875 0.578125 0.953125 0.140625 0.453125 0.796875 0.546875 0.890625
"7" 0.203125 0.203125 0.703125 0.578125 0.015625 0.578125 0.296875 0.203125
"8" 0.234375 0.171875 0.421875 0.671875 0.796875 0.828125 0.109375 0.703125
"9" 0.265625 0.796875 0.234375 0.984375 0.234375 0.328125 0.171875 0.765625
"10" 0.296875 0.140625 0.328125 0.203125 0.203125 0.171875 0.265625 0.859375
"11" 0.328125 0.484375 0.796875 0.953125 0.609375 0.921875 0.828125 0.671875
"12" 0.359375 0.046875 0.265625 0.015625 0.328125 0.953125 0.640625 0.453125
"13" 0.390625 0.828125 0.171875 0.484375 0.859375 0.484375 0.703125 0.984375
"14" 0.421875 0.109375 0.046875 0.828125 0.296875 0.609375 0.859375 0.484375
"15" 0.453125 0.953125 0.546875 0.109375 0.546875 0.296875 0.015625 0.609375
"16" 0.484375 0.859375 0.078125 0.515625 0.421875 0.984375 0.578125 0.296875
"17" 0.515625 0.453125 0.828125 0.546875 0.640625 0.078125 0.078125 0.046875
"18" 0.546875 0.734375 0.859375 0.265625 0.359375 0.703125 0.984375 0.140625
"19" 0.578125 0.390625 0.203125 0.078125 0.578125 0.203125 0.953125 0.359375
"20" 0.609375 0.015625 0.609375 0.421875 0.828125 0.421875 0.796875 0.921875
"21" 0.640625 0.328125 0.109375 0.234375 0.734375 0.640625 0.046875 0.109375
"22" 0.671875 0.359375 0.515625 0.640625 0.984375 0.671875 0.765625 0.078125
"23" 0.703125 0.609375 0.890625 0.890625 0.890625 0.265625 0.203125 0.828125
"24" 0.734375 0.921875 0.484375 0.796875 0.671875 0.109375 0.921875 0.421875
"25" 0.765625 0.703125 0.671875 0.765625 0.109375 0.890625 0.140625 0.515625
"26" 0.796875 0.546875 0.921875 0.328125 0.265625 0.015625 0.609375 0.734375
"27" 0.828125 0.515625 0.453125 0.453125 0.140625 0.765625 0.890625 0.953125
"28" 0.859375 0.421875 0.359375 0.859375 0.171875 0.234375 0.484375 0.015625
"29" 0.890625 0.078125 0.984375 0.359375 0.390625 0.734375 0.453125 0.390625
"30" 0.921875 0.296875 0.140625 0.703125 0.484375 0.390625 0.234375 0.796875
"31" 0.953125 0.671875 0.296875 0.046875 0.046875 0.515625 0.359375 0.328125
"32" 0.984375 0.765625 0.578125 0.390625 0.953125 0.859375 0.328125 0.640625
